B0000AXP2J,[0.765],[5],"[[excellent, thanks]]","[[excellent thanks, 0.765, 5]]"
B0002J2E62,[0.6369],[5],"[[fit, toyota, camry]]","[[fit toyota camry, 0.6369, 5]]"
B00078NIUY,[0.0],[5],"[[receive, expect]]","[[receive expect, 0.0, 5]]"
B000PTLMAS,[0.3384],[5],"[[work, others, didnt]]","[[work others didnt, 0.3384, 5]]"
B001AO2TZO,[0.0],[1],"[[cant, place, blow, fuse]]","[[cant place blow fuse, 0.0, 1]]"
B001ED6EIE,[0.4404],[4],[[case]],"[[case, 0.4404, 4]]"
B0027FM3Y2,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B002QZH91U,[0.0],[3],"[[work, kinda, flimsy]]","[[work kinda flimsy, 0.0, 3]]"
B003L781UU,"[0.4404, 0.6369]","[4, 5]","[[work, town, country, remote, need, change, system, headphone, stereo, set, headphone, use, stereo, listen, radio, cd], [buy]]","[[work town country remote need change system headphone stereo set headphone use stereo listen radio cd, 0.4404, 4], [buy, 0.6369, 5]]"
B003O5HP88,"[0.7579, 0.6249, 0.0]","[5, 5, 4]","[[product, excellent, price, save, purchase, phone], [look, right, havent, use], [work]]","[[product excellent price save purchase phone, 0.7579, 5], [look right havent use, 0.6249, 5], [work, 0.0, 4]]"
B0040UJ17O,[-0.8569],[1],"[[head, set, fall, apart, take, package, look, part, underneath, rubber, glue, let, dry, send, try, lift, rubber, rip, quality, star, price, think, send, buy, risk]]","[[head set fall apart take package look part underneath rubber glue let dry send try lift rubber rip quality star price think send buy risk, -0.8569, 1]]"
B0042DILE8,[0.4939],[4],"[[didnt, work, display, scramble, purple, white, well, luck, problem, contact, seller]]","[[didnt work display scramble purple white well luck problem contact seller, 0.4939, 4]]"
B0046H8ZFU,"[0.8689, 0.9868, 0.5464, 0.2014]","[5, 5, 4, 3]","[[arrive, last, day, amazon, send, replacement, speak, update, review, leave, star, night, use, ear, sound, sure, others, say, sound, wonder, get, product, update, get, one], [using, specific, type, brand, earbuds, sleep, year, theyre, sleep, cord, bend, short, pair, short, decide, look, something, make, sleep, narrow, brand, chose, brand, speaker, suppose, quality, theyre, wonderful, theyve, get, nice, amount, bass, earbuds, theres, comparison, im, tell, mother, law, get, product, help, drown, father, law, snore, say, material, hot, dont, agree, take, medication, cause, sweat, try, sleepphones, summer, day, yes, im, indoors, doesnt, matter, come, sweat, smallest, amount, heat, make, sweat, im, sweat, headband, got, medium, snug, give, fit, say, head, average, size, im, female, lb, youre, id, go, larger, size, dont, want, snug, wonderful, product, update, ive, use, sleepphones, night, part, day, theyre, thing, take, morning, cartilage, part, upper, ear, sore, say, thing, isnt, tight, reason, push, ear, way, theyre, sore, touch, cant, feel, ear, put, sleepphones, band, wonder, keep, wear, ear, get, use, likea, pair, leather, shoe, itll, hurt, doesnt, hmmmm], [toss, turn, leave, degree, plain, fine, turn, degree, wake, cord, neck, put, cord, top, head, ipod, sits, night, stand, issue, speaker, soft, great, sound, get, help, block, vibrate, noise, build, block, volume, unique, annoying, sound, dont, let, discourage, block, noise, get, star, noise, cancel, technology, way, run, cord, sound, believe, true, way, advertise, way, others, describe], [use, week, warm, quality, sound, slept, neighbor, party]]","[[arrive last day amazon send replacement speak update review leave star night use ear sound sure others say sound wonder get product update get one, 0.8689, 5], [using specific type brand earbuds sleep year theyre sleep cord bend short pair short decide look something make sleep narrow brand chose brand speaker suppose quality theyre wonderful theyve get nice amount bass earbuds theres comparison im tell mother law get product help drown father law snore say material hot dont agree take medication cause sweat try sleepphones summer day yes im indoors doesnt matter come sweat smallest amount heat make sweat im sweat headband got medium snug give fit say head average size im female lb youre id go larger size dont want snug wonderful product update ive use sleepphones night part day theyre thing take morning cartilage part upper ear sore say thing isnt tight reason push ear way theyre sore touch cant feel ear put sleepphones band wonder keep wear ear get use likea pair leather shoe itll hurt doesnt hmmmm, 0.9868, 5], [toss turn leave degree plain fine turn degree wake cord neck put cord top head ipod sits night stand issue speaker soft great sound get help block vibrate noise build block volume unique annoying sound dont let discourage block noise get star noise cancel technology way run cord sound believe true way advertise way others describe, 0.5464, 4], [use week warm quality sound slept neighbor party, 0.2014, 3]]"
B004AD5E0E,[0.7579],[5],"[[awesome, ipod, case, snap, color, pop]]","[[awesome ipod case snap color pop, 0.7579, 5]]"
B004B3KANO,[-0.4215],[2],"[[phone, last, year, broke, ]]","[[phone last year broke , -0.4215, 2]]"
B004G7BKFC,"[0.2135, -0.1027]","[3, 5]","[[find, older, iphonethis, need], [product, work, adaptor, portion, plan, use, motorcycle, hit, tank, make, tight, turn]]","[[find older iphonethis need, 0.2135, 3], [product work adaptor portion plan use motorcycle hit tank make tight turn, -0.1027, 5]]"
B004LF76MA,"[0.875, 0.7906, 0.0]","[5, 5, 5]","[[work, great, install], [cant, beat, price], [nice, clean, eazy, read, hear, clear, volume]]","[[work great install, 0.875, 5], [cant beat price, 0.7906, 5], [nice clean eazy read hear clear volume, 0.0, 5]]"
B004MYFTEW,"[-0.3818, 0.4404, -0.2755, 0.5984]","[1, 5, 1, 5]","[[gps, system, use], [receive, august, gps, equipment, doesnt, turn, connect, computer, see, source, energy, equipment, restart, equipment, deathbr, feel, company, steal, money, sell, equipment, least, month, unacceptable, situation, expect, nobody, face], [beware, item, gigabyte, memory, canadaus, map, megabytes, leave, load, map, update, fit, return], [buy, cartrip, canada, ne, battery, life, ease, car, charger, work, canada, help, navigate, street, montreal, backroads]]","[[gps system use, -0.3818, 1], [receive august gps equipment doesnt turn connect computer see source energy equipment restart equipment deathbr feel company steal money sell equipment least month unacceptable situation expect nobody face, 0.4404, 5], [beware item gigabyte memory canadaus map megabytes leave load map update fit return, -0.2755, 1], [buy cartrip canada ne battery life ease car charger work canada help navigate street montreal backroads, 0.5984, 5]]"
B004RWM5SM,[0.7964],[5],"[[goggles, well, get]]","[[goggles well get, 0.7964, 5]]"
B004S4XKRO,[0.8131],[4],"[[car, stereo, list, amazon, work, work, get, use, button, arrangement, breeze, operate, prefer, unit, wit, remote, control, cant, everything, price, day, concern, unit, make, china, experience, good, kraap, last, power, tissue, bonfire, see, notwithstanding, volume, sound, adequate, radio, sensitivity, ergonomics, decent, give, radio, star, didnt, smoke, detonate, nanosecond]]","[[car stereo list amazon work work get use button arrangement breeze operate prefer unit wit remote control cant everything price day concern unit make china experience good kraap last power tissue bonfire see notwithstanding volume sound adequate radio sensitivity ergonomics decent give radio star didnt smoke detonate nanosecond, 0.8131, 4]]"
B004YGALYQ,[0.6249],[5],"[[work, describe]]","[[work describe, 0.6249, 5]]"
B005CB0KZC,[0.4404],[5],[[buy]],"[[buy, 0.4404, 5]]"
B005EI19DA,[0.3612],[1],"[[battery, hold, charge, hour, maybe, hr]]","[[battery hold charge hour maybe hr, 0.3612, 1]]"
B005P0GX8S,[0.4404],[4],"[[phone, good]]","[[phone good, 0.4404, 4]]"
B0062IG4UY,[0.0],[1],"[[wouldnt, work, iphone, design]]","[[wouldnt work iphone design, 0.0, 1]]"
B00871Q5PI,"[0.5719, 0.3384, 0.5719, 0.836, 0.4265, 0.5859, 0.8885]","[5, 5, 5, 5, 4, 5, 5]","[[work, extension, quality], [work, flash, drive, dont, microusb, side, transfer, file], [work], [excellent, quality, describe], [price, usb, gto, cable, hp, stream, tablet, right, prevent, use, audio, jack, micro, usb, connector], [work, issue], [buy, android, phone, wish, phone, work]]","[[work extension quality, 0.5719, 5], [work flash drive dont microusb side transfer file, 0.3384, 5], [work, 0.5719, 5], [excellent quality describe, 0.836, 5], [price usb gto cable hp stream tablet right prevent use audio jack micro usb connector, 0.4265, 4], [work issue, 0.5859, 5], [buy android phone wish phone work, 0.8885, 5]]"
B008HLVWH4,[0.0],[2],[[buy]],"[[buy, 0.0, 2]]"
B008MTYEZS,[0.8979],[5],"[[work, install, email, company, question, ok, help, department]]","[[work install email company question ok help department, 0.8979, 5]]"
B008N6SNX4,[-0.2755],[1],"[[fit, phone, way]]","[[fit phone way, -0.2755, 1]]"
B0092GIFQ4,"[-0.3687, -0.9001]","[4, 3]","[[love, breeze, battery, die, buy, unlock, breeze, move, sim, card, connect, att, network, loss, contact, beware, breeze, convenient, easytounderstand, phone, im, sound, quality, echoing, dead, second, battery, last, hour, use, ill, get, use, difficulty, face, ridiculousness, smart, phone, take, picture, memory, store], [buy, spouse, doesnt, smart, phone, work, turn, data, smart, phone, contact, carrier, number, block, data, usage, phone]]","[[love breeze battery die buy unlock breeze move sim card connect att network loss contact beware breeze convenient easytounderstand phone im sound quality echoing dead second battery last hour use ill get use difficulty face ridiculousness smart phone take picture memory store, -0.3687, 4], [buy spouse doesnt smart phone work turn data smart phone contact carrier number block data usage phone, -0.9001, 3]]"
B00A3UG6KA,[-0.4767],[2],"[[week, son, phone, shatter]]","[[week son phone shatter, -0.4767, 2]]"
B00AA5AH62,[0.8123],[2],"[[recommend, buy, filament, try, something, different, buy, hatchbox, begin, spool, isnt, filament, tends, unwind, cause, monitor, extruder, clog, rare, printer, curling, bigger, longer, build, split, print, piece, roll, indicative, filament, line, itll, time, venture, sainsmart]]","[[recommend buy filament try something different buy hatchbox begin spool isnt filament tends unwind cause monitor extruder clog rare printer curling bigger longer build split print piece roll indicative filament line itll time venture sainsmart, 0.8123, 2]]"
B00ANZWAUK,[0.8481],[5],"[[wear, purse, wristlet, fit, everything, everything, u, room, use, coin, zipper, pocket]]","[[wear purse wristlet fit everything everything u room use coin zipper pocket, 0.8481, 5]]"
B00B4HPZ9E,"[-0.1901, 0.0]","[4, 1]","[[bull], [excellent, condition, couldnt, get, connect]]","[[bull, -0.1901, 4], [excellent condition couldnt get connect, 0.0, 1]]"
B00B97X87U,[0.9517],[5],"[[fit, phone, protect, break, drop, phone, get, lot, compliment, cute]]","[[fit phone protect break drop phone get lot compliment cute, 0.9517, 5]]"
B00BBSAFU0,[0.7067],[5],"[[im, sure, discontinue, ear, bud, theyre, provide, bass, set, ruin, fault, put, washer, time, work, beat, ear, bud, come]]","[[im sure discontinue ear bud theyre provide bass set ruin fault put washer time work beat ear bud come, 0.7067, 5]]"
B00BSKEIHM,[0.2935],[1],"[[alot, instal, testing, work, biggest, piece, junk, buy, use, flea, market, buy, work, bench, testing, instal, car, thing, get, busy, install, month, get, time, put, car, lose, powerspeaker, plug, email, seller, see, buy, replacement, needle, say, got, run, threaten, change, review, review, product, get, picture, plug, email, think, solder, plug, socket, time, ive, open, dvd, player, get, half, way, done, solder, plug, wire, go, test, notest, badbroken, ribbon, cable, socket, mean, thing, go, part, say, save, time, money, go, brand, seler, product, customer, service, unwilling, help, get, replacement, part]]","[[alot instal testing work biggest piece junk buy use flea market buy work bench testing instal car thing get busy install month get time put car lose powerspeaker plug email seller see buy replacement needle say got run threaten change review review product get picture plug email think solder plug socket time ive open dvd player get half way done solder plug wire go test notest badbroken ribbon cable socket mean thing go part say save time money go brand seler product customer service unwilling help get replacement part, 0.2935, 1]]"
B00CSFF1M2,[-0.296],[5],[[comment]],"[[comment, -0.296, 5]]"
B00CXX8748,[0.4404],[5],"[[work, intend, sturdy, quality]]","[[work intend sturdy quality, 0.4404, 5]]"
B00D4C4OPI,[0.8948],[5],"[[iphone, case, want, delivery, fast, recommend, amazon, family, friend]]","[[iphone case want delivery fast recommend amazon family friend, 0.8948, 5]]"
B00D5X5BHQ,[0.9442],[5],"[[look, great, fit, feel, leather, nice, touch]]","[[look great fit feel leather nice touch, 0.9442, 5]]"
B00DDMYC5Q,[-0.7096],[1],"[[item, work, nokia, x, waste, money, time]]","[[item work nokia x waste money time, -0.7096, 1]]"
B00DHGB1WU,[0.4449],[4],"[[case, describe, arrive, closure, isnt]]","[[case describe arrive closure isnt, 0.4449, 4]]"
B00E4XNLSM,[-0.4215],[2],"[[didnt, week, waste, money]]","[[didnt week waste money, -0.4215, 2]]"
B00EKFH2VG,[0.3384],[5],"[[work, get, truck]]","[[work get truck, 0.3384, 5]]"
B00ENOSLBO,[0.0],[5],"[[need, phone]]","[[need phone, 0.0, 5]]"
B00EO984NI,[0.5423],[5],"[[deliver, time, year, drop, phone, occasion, remain, intact, product]]","[[deliver time year drop phone occasion remain intact product, 0.5423, 5]]"
B00ESNTD2Q,[0.6249],[5],"[[protection, finish]]","[[protection finish, 0.6249, 5]]"
B00ESYO8OI,[0.802],[5],"[[productvery, cute, drop, phone, time, dont]]","[[productvery cute drop phone time dont, 0.802, 5]]"
B00F4JJYO0,[-0.9676],[2],"[[case, fit, break, month, purchase, wife, surprise, apologize, receive, quality, didnt, want, think, cheapskatebr, upload, product, image, look, quality, case, receive, resolution, sort, grainybr, junior, teenager, want, something, cute, custom, doesnt, recognize, care, overall, qualitybr, wont, wife, use, phone, case, fell, keep, keyboard, close, use, phonebr, sorry, photo, comment, think, discard, case, frustration, photo, take]]","[[case fit break month purchase wife surprise apologize receive quality didnt want think cheapskatebr upload product image look quality case receive resolution sort grainybr junior teenager want something cute custom doesnt recognize care overall qualitybr wont wife use phone case fell keep keyboard close use phonebr sorry photo comment think discard case frustration photo take, -0.9676, 2]]"
B00F4U6Q22,[-0.6619],[1],"[[didnt, fit, phone, seller, sent, second, case, charge, fit, offer, refund, money]]","[[didnt fit phone seller sent second case charge fit offer refund money, -0.6619, 1]]"
B00FAO5HOA,"[0.6249, 0.0]","[5, 5]","[[convenient, protective], [shipment, quality, price]]","[[convenient protective, 0.6249, 5], [shipment quality price, 0.0, 5]]"
B00FBN8HW4,"[0.9231, 0.8126]","[2, 5]","[[reason, case, make, anyone, understand, super, cute, level, protection, great, wish, people, understand], [case, teenager, feel, confident, break, phone, case, protect, high, energy, teenager, activity]]","[[reason case make anyone understand super cute level protection great wish people understand, 0.9231, 2], [case teenager feel confident break phone case protect high energy teenager activity, 0.8126, 5]]"
B00FCLXTZK,[0.4767],[5],"[[perfect, fit, year, niece]]","[[perfect fit year niece, 0.4767, 5]]"
B00FKYY156,[0.4404],[5],"[[give, gift]]","[[give gift, 0.4404, 5]]"
B00FRERN86,[0.5719],[5],"[[nephew, love]]","[[nephew love, 0.5719, 5]]"
B00FSD4EJM,[0.6908],[4],"[[extend, charger, compliant, sometimes, cap, loosen, walk, applies, attach, book, bag, etc, charge, phone, hour, nonstop, getting, newer, version, breaksgets, lose]]","[[extend charger compliant sometimes cap loosen walk applies attach book bag etc charge phone hour nonstop getting newer version breaksgets lose, 0.6908, 4]]"
B00G2E0PXA,[0.743],[5],"[[perfect, fit, make, there, dust]]","[[perfect fit make there dust, 0.743, 5]]"
B00GHXGV7U,[0.0],[2],"[[battery, cause, phone, shut, less, year, dont, life]]","[[battery cause phone shut less year dont life, 0.0, 2]]"
B00GLPYTCI,[0.8945],[2],"[[hotspot, work, expect, month, wouldnt, connect, service, say, troubleshooting, give, model, black, work, dont, happen, thanks, goodness, buy, sale]]","[[hotspot work expect month wouldnt connect service say troubleshooting give model black work dont happen thanks goodness buy sale, 0.8945, 2]]"
B00GMW6MFW,[0.4939],[5],"[[make, flip, phone, fit, case]]","[[make flip phone fit case, 0.4939, 5]]"
B00GOGSPOW,"[-0.4019, 0.6249, 0.5719]","[5, 3, 5]","[[problem, arizona, heat, phone, use, less, insulate, case, temp], [excellent, product], [case, expect, offer, color]]","[[problem arizona heat phone use less insulate case temp, -0.4019, 5], [excellent product, 0.6249, 3], [case expect offer color, 0.5719, 5]]"
B00GOGV332,"[-0.4215, 0.2732]","[3, 5]","[[use, work, jawbone, fitness, tracker, sleep, tracker, band, compare, fitbit, others], [broke, month, purchase]]","[[use work jawbone fitness tracker sleep tracker band compare fitbit others, -0.4215, 3], [broke month purchase, 0.2732, 5]]"
B00GURMWI0,[0.3612],[3],"[[fit, card, folder, money, bc, snap, shut]]","[[fit card folder money bc snap shut, 0.3612, 3]]"
B00H1ZKISQ,[0.9343],[5],"[[year, old, daughter, love, case, phone, sturdy, slip, drop, effect, phone, grip, look]]","[[year old daughter love case phone sturdy slip drop effect phone grip look, 0.9343, 5]]"
B00H2BAGGI,"[0.6369, -0.128]","[5, 4]",[[case]],"[[case, 0.6369, 5], [, -0.128, 4]]"
B00HC8OFCC,[-0.0372],[3],"[[wish, wasnt, blue, light, happen, nice, know, thing, charge, dark, room, sleep]]","[[wish wasnt blue light happen nice know thing charge dark room sleep, -0.0372, 3]]"
B00HCJ5M96,[0.9128],[5],"[[sound, nice, pioneer, radio, voice, clear, bass, perfect, speaker]]","[[sound nice pioneer radio voice clear bass perfect speaker, 0.9128, 5]]"
B00HSXT3OQ,[0.9672],[4],"[[im, geniune, leather, fit, great, feel, thin, concern, last, longterm, enjoy, band, great, price]]","[[im geniune leather fit great feel thin concern last longterm enjoy band great price, 0.9672, 4]]"
B00HUHNB0W,[-0.4019],[4],[[snapping]],"[[snapping, -0.4019, 4]]"
B00I0FKG6K,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B00IJ0PVC0,[0.0],[1],"[[operate, power, button, case, instal, return]]","[[operate power button case instal return, 0.0, 1]]"
B00IJ1G3B2,[0.6249],[4],"[[work, great]]","[[work great, 0.6249, 4]]"
B00IJ51I3Q,[0.6249],[5],"[[fit, galaxy, note, great, purchase]]","[[fit galaxy note great purchase, 0.6249, 5]]"
B00IT67MCQ,"[0.6369, 0.4215, 0.0, 0.5719, 0.659, 0.3818]","[5, 5, 5, 5, 2, 5]","[[perfect], [charge, phone, cheap, price], [samsung, galaxy, phone, otter, box, defender, case, use, charger, hump, hold, larger, open, otter, box, preclude, plug, phone, reflection, use, usb, port, charger, resolve, issue, mention, revise, rating, star, charger, work], [nice], [look]]","[[perfect, 0.6369, 5], [charge phone cheap price, 0.4215, 5], [samsung galaxy phone otter box defender case use charger hump hold larger open otter box preclude plug phone reflection use usb port charger resolve issue mention revise rating star charger work, 0.0, 5], [nice, 0.5719, 5], [look, 0.659, 2], [, 0.3818, 5]]"
B00IU8LJY0,[-0.4039],[2],"[[make, phone, fall, part, separate, piece, picture, stay]]","[[make phone fall part separate piece picture stay, -0.4039, 2]]"
B00IUFUNO0,"[0.9487, 0.1027]","[5, 3]","[[delay, relay, like], [come, super, fast, look, brandnew, viewer, come, ziploc, baggie, brandnew, awesome, br, br, ship, hope, ship, time, fast, thank]]","[[delay relay like, 0.9487, 5], [come super fast look brandnew viewer come ziploc baggie brandnew awesome br br ship hope ship time fast thank, 0.1027, 3]]"
B00IWW9AB8,"[0.1796, 0.7227]","[5, 5]","[[work, great, forget, get, cell, service, home, use, walk, street, get, signal, put, antenna, havent, think], [receive, item, yesterday, instal, cord, run, floor, upstairs, tack, door, frame, downstairs, minute, installation, husband, say, worth, penny, send, text, message, leave, area, order, send, text, message, walk, house, find, signal, message, send, forget, make, receiving, phone, call, landline, get, answer, phone, run, find, better, signal, give, caller, house, phone, number, product, instal, hour, feel, day, thing, past, glte, take, advice, review, download, app, phone, show, closest, tower, locate, point, receive, antenna, direction]]","[[work great forget get cell service home use walk street get signal put antenna havent think, 0.1796, 5], [receive item yesterday instal cord run floor upstairs tack door frame downstairs minute installation husband say worth penny send text message leave area order send text message walk house find signal message send forget make receiving phone call landline get answer phone run find better signal give caller house phone number product instal hour feel day thing past glte take advice review download app phone show closest tower locate point receive antenna direction, 0.7227, 5]]"
B00IYBJWBK,[0.5787],[1],"[[case, broke, time, drop, phone, paint, wear, bit]]","[[case broke time drop phone paint wear bit, 0.5787, 1]]"
B00IZN2Q3I,[0.9464],[5],"[[case, bulky, case, design, perfect, protects, phone, case, come, screen, protector, buy, protector, dollar, combination, protect, phone, drop, purchase, case, upgrade, phone]]","[[case bulky case design perfect protects phone case come screen protector buy protector dollar combination protect phone drop purchase case upgrade phone, 0.9464, 5]]"
