B0000AXP2J,[0.765],[5],"[[excellent, thanks]]","[[excellent thanks, 0.765, 5]]"
B00WUDX250,"[-0.4449, 0.9931, 0.9001, 0.9233, 0.8885, 0.8807, 0.8207, -0.296, 0.9539, 0.6489, -0.5256, 0.9023, 0.4927, 0.8074, 0.9668, 0.6369, 0.5719, 0.7269, 0.7444, 0.0516, 0.7906, 0.895, 0.9225, 0.1531, 0.0, 0.8622, 0.6249, 0.9468, 0.6249, 0.6249, 0.9169, 0.2732, 0.0, 0.8098, 0.4588, 0.128, 0.8979, 0.9169, 0.1367, 0.9216, -0.8504, 0.8934, 0.8928, 0.9201, 0.6249, 0.2023, 0.6249, 0.6249, 0.9714, 0.0, 0.9884, 0.6249, 0.7778, 0.0, 0.8957, 0.09, 0.5688, 0.0516, 0.7375, 0.5719, -0.9455, 0.856, -0.6694, 0.6249, 0.9134, 0.3804, 0.8555, 0.6249, -0.3773, 0.3384, 0.8268, 0.7555, 0.792, 0.0, 0.6124, 0.6249, 0.6542, 0.7351, 0.5719, 0.7902, 0.3716, 0.85, 0.8555]","[2, 4, 5, 4, 5, 5, 5, 1, 5, 4, 2, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 1, 4, 4, 3, 5, 5, 3, 4, 1, 5, 5, 2, 5, 4, 5, 5, 4, 5, 4, 5, 5, 3, 4, 5, 4, 5, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 1, 5, 5, 5, 4, 5, 5]","[[work, week, stop, pair, phone, device, seller, great, work, offer, direction, issue, customer, service], [please, product, price, work, longer, expect, charge], [sound, problem, compound, blyutuzu, stop, play, leave, earpiece, problem, solve, way, manufacturer, sent, headphone], [leave, headphone, fell, apart, le, month, use, time], [expect, stay, ear, snug, im, run, speed, sound, quality, good, purchase], [sound, quality, fit, thank, include, pair, bud, pair, hook, stay, put, run, battery, life, hour, use], [fit, get, getting, seat, sound, quality, stay, connect], [work, complaint], [work, great], [fast, connect, iphone, phone, tell, leave, headphone, feature, gripe, hour, depend, use, button, carry, pouchcase, protect, great, run, gym, wire, recommend, buy], [work, sound, quality, good, battery, life, short, time, hearing, battery, message, power], [week, do, use, work, walking], [product], [product, work, advertise, seems, hold, charge, amount, time, fit, ear, stay, put, quality, adequate, price, set, earbuds, recommend], [ok, headphone, receive, see, mpow, packagin, see, picture, post, hurt, ear, wear, bit, work, im, give, star], [bluetooth, price, use, time, enjoy, sound], [lot, fit, pair, ipad, galaxy, phone, ipod, problem, suppose, use, clip, seem, work, fine, use, walk], [work, great, value, jabra, step], [get, wife, love, say, sound, quality, great, compare, headset, own, work, cell, phone, company, bluetooth, headphone, invent, thats, lot, wireless, headphone, awesome], [headset, use, connect, phone, sound, great, wear, periods, value, money], [earphone, give, star, reason, cut, length, use, time, battery, noticebr, use, walk, phone, pocket, sound, cut, time, minute, walkbr, minute, time, receive, battery, notification, time, earphone, lose, power, listen, music, speaker, phone, remainder, walk, frustrate, people, trail, battery, life, time, hour, chargebr, br, feature, likebr, use, talk, feature, person, talk, hear, finebr, lightweightbr, whats, go, mebr, connect, device, timebr, change, ear, tip, holder, smallest, size, fit, ear, greatbr, br, using, week, issue, quit, work, report, ill, review], [awesome], [sound, quality, mean, sound, cheap, shoe, box, tape, recorder, leave, loud, buzzing, sound, drive, nut, headset, passion, give, overprice, bit, garbage, star, waste, money, bit, junk], [headphone, work], [work, great, charge, find, way, fit, ear], [purchase, youre, look, something, wont, disappoint, gym, phone, call, eard, phone, call, let, side, hang, shoulder], [use], [running, want, leave, chord, bounce, neck, make, loud, thud, sound, step, tuck, ear, rest, chord, fit, tight, head, wear, chord, top, head, ear, piece, ear, hook, fit, love, technique, ear, hook, super, fall, blue, tooth, discount, couple, time, blue, tooth, receiver, side, move, phone, arm, work, amazon, tooth, garage, speaker, take, kick, mpow, swift, phone, leave, house, connect, price, think, deal, use, twice, run], [think, true, sound, quality, connectivitybut, make, angle, extender, go, snap, easilyi, get, use, time, pull, bag, use, number, piece, snap, drain], [excellent, sound, performance, look], [review, read, review, great, product, go, record, let, everyone, know, headphone, ear, ear, star, rat, sound, qualityengineering, price], [product], [buy, take, trip, didnt, cord, headphone, deal, plane, start, use, bike, ride, activity, sound, quality, charge, time, excellent, recharge, time, excellent, issue, run, range, bigger, ear, headphone, drop, player, pas, clothe, excellent, point], [headphone, come, follow, instruction, charge, use, bluetooth, work, awesome, turn, time, charge, give, star, review, work, mpow, return, sent, pair, poor, review, work, change, week, use, seventy, eighty, dollar, head, phone, bit, ebay, sale, price, ], [sound, quality, ok, pair, order, get, audio, fee], [headphone, dont, seem, stay, ear, ive, try, bud, fall, stay, random, stuff], [mine, stop, work, week], [perfect, work], [headphone, doesnt, fit, ears, price], [pair, get, malfunction, return, receive, pair, company, work, stabilizer, need, keep, headphone, ear, style, use, style, work, run, bluetooth, range, better, phone, run, pocket, perfect, overall, bluetooth, headphone, set, lightweight, great, sound, quality], [preface, state, samsung, galaxy, phone, cant, speak, modelsbr, br, prosbr, great, sound, bass, quality, decent, job, block, noisebr, runner, use, gym, doesnt, fall, outbr, doesnt, module, side, model, get, way, make, sidebr, connection, distance, expect, foot, set, phone, end, room, room, door, walk, connection, lossbr, br, consbr, fit, feel, bud, stick, come, piece, attach, help, hold, place, ear, come, earbuds, find, say, doesnt, seem, fall, run, nice, compare, model, purchasedbr, connecting, earbuds, lightweight, control, try, make, sit, way, neck, tend, tuck, shirt, front, go, gym], [bang, buck], [fit, connects, phone, sound, price], [product, pair, life, hour, thats, considering, wireless], [awesome, arrive, charge, time, look, term, price, quality], [sounding, ear, bud, lightweight, lock, ear, buy], [headphone, great, purchase, ear, headphone, style, lot, accessory, piece, help, get, size, stay, matter, activity, level, well, range, anticipate], [product, sound, hear, music, way, heard], [work, great, give, throw, motion, balance], [sound, quality, great, sound, drop, stutter, ear, piece, take, get, use, theyre, bigger, ear, set, function, work, gym, circuit, training, treadmill, ive, come, bit, time, wet, sweat, tell, give, twist, minute, speed, walk, outdoors, issue], [product, work, advertise, sound, order, excellent, customer, service, seller], [headphone, use, fit, great, use, training, run, came, home, mow, yard, work, hour, go, battery, life, ive, purchase, thing, company, customer, service, class, kind, problem, make, hassle], [audio, quality, doesnt, shake, think, battery, life], [boyfriend, love, price, quality], [star, customer, service, deal, break, earbud, thing, quietest, earphone, know, man, library, condition, listen, podcasts, volume, turn, way, silent, retreat, ambient, nose, car], [headphone, great, sound, use, enjoy], [awesome, product], [fit, work, great], [product], [dont, fit, ear], [im, glad, purchase, wireless, headphone, daughter, purchase, pair, christmas, stop, work, month, well, quality, say, sound, quality], [doesnt, hold, charge, hour, disappoint], [excellent, product, sound, great, bass, definition, hand, ware, run, gym, fit, recommend], [advertise], [earphone, work, sound, quality, music, great, thats, okay, use, listen, podcasts, gym, week, use, eg, keep, battery, charge, link, bluetooth], [awesome, ear, plug], [update, review, love, comfort, sound, headphone, find, flaw, cause, damage, use, pair, coat, connect, wire, skin, make, wear, head, appropriate, way, wire, stick, neck, pull, wearing, wire, front, rectify, issue, discomfort, wire, catch, dumbells, hand, yank, earbuds, ear, result, hit, floor, come, apart, continue, use, result, damage, fair, know, solder, appropriate, tool, neither, tool, skill, company, come, alternative, coating, portion, connect, bridge, doesnt, stick, neck, review, try, number, headset, work, gym, environment, sound, dont, want, hear, conversation, weight, bang, noise, headset, price, range, issue, arent, sweat, dont, cancel, noise, purchase, mpow, headset, purchase, fail, meet, need, amaze, quality, product, comfort, sound, noise, cancel, durability, sweat, spot, design, work, gym, let, forget, price, beat, price, product, get, take, end, product, time, downside, find, product, rubber, material, use, connect, earpiece, get, annoy, neck, stick, skin, way, found, wear, loop, front, avoid, fix, type, nonadhering, material, center, loop, star, product], [price, complain], [awesome], [lot, stay, ear, run, lift, weight, problem, look, mpow, logo, get, eye, pea, stuck, head, know, boom, boom, powbr, love, thing], [headphone, use, run, neck, cord, doesnt, bother, cant, feel, part, pair, iphone, setup, ear, hook, assortment, find, size, stay, ear, problem, headphone, sound, quality, great, im, look, headphone, get, run, home, stereo, setup, max, volume, perfect, treadmill, distance, range, advertise, get, foot, start, skip, havent, use, microphone, havent, complaint, person, talking, hear, downside, go, tooth, headset, battery, dy, there, nothing, run, gotten, battery, alert, turn, silence, great, buy, recommend, friend], [far, get, door, activity, fit, simple, instruction], [love, headphone, sounding, earphone], [product, sound, battery, life], [complaint, product, work], [block, outside, noise, turn, fit, charge, doesnt, take, leave, hour, connect, piece, cake, theyre, awesome], [order, husband, love], [work, advertise, watch, redial, function, press, multifunction, button, twice, call, redial, number, call, nice, function, dont, forget, turn, headset, put, pocket, way, turn, function], [look], [ok, headphonesi, go, cordless, im, welder, im, period, time, weld, hour, get, head, phone, seem, jack, connects, phone, im, vacation, cant, say, yet, update, return, work], [item, fit, comfy, ear, doesnt, come, run, def, recommend, product]]","[[work week stop pair phone device seller great work offer direction issue customer service, -0.4449, 2], [please product price work longer expect charge, 0.9931, 4], [sound problem compound blyutuzu stop play leave earpiece problem solve way manufacturer sent headphone, 0.9001, 5], [leave headphone fell apart le month use time, 0.9233, 4], [expect stay ear snug im run speed sound quality good purchase, 0.8885, 5], [sound quality fit thank include pair bud pair hook stay put run battery life hour use, 0.8807, 5], [fit get getting seat sound quality stay connect, 0.8207, 5], [work complaint, -0.296, 1], [work great, 0.9539, 5], [fast connect iphone phone tell leave headphone feature gripe hour depend use button carry pouchcase protect great run gym wire recommend buy, 0.6489, 4], [work sound quality good battery life short time hearing battery message power, -0.5256, 2], [week do use work walking, 0.9023, 4], [product, 0.4927, 5], [product work advertise seems hold charge amount time fit ear stay put quality adequate price set earbuds recommend, 0.8074, 4], [ok headphone receive see mpow packagin see picture post hurt ear wear bit work im give star, 0.9668, 5], [bluetooth price use time enjoy sound, 0.6369, 5], [lot fit pair ipad galaxy phone ipod problem suppose use clip seem work fine use walk, 0.5719, 5], [work great value jabra step, 0.7269, 5], [get wife love say sound quality great compare headset own work cell phone company bluetooth headphone invent thats lot wireless headphone awesome, 0.7444, 5], [headset use connect phone sound great wear periods value money, 0.0516, 5], [earphone give star reason cut length use time battery noticebr use walk phone pocket sound cut time minute walkbr minute time receive battery notification time earphone lose power listen music speaker phone remainder walk frustrate people trail battery life time hour chargebr br feature likebr use talk feature person talk hear finebr lightweightbr whats go mebr connect device timebr change ear tip holder smallest size fit ear greatbr br using week issue quit work report ill review, 0.7906, 5], [awesome, 0.895, 4], [sound quality mean sound cheap shoe box tape recorder leave loud buzzing sound drive nut headset passion give overprice bit garbage star waste money bit junk, 0.9225, 5], [headphone work, 0.1531, 2], [work great charge find way fit ear, 0.0, 4], [purchase youre look something wont disappoint gym phone call eard phone call let side hang shoulder, 0.8622, 5], [use, 0.6249, 5], [running want leave chord bounce neck make loud thud sound step tuck ear rest chord fit tight head wear chord top head ear piece ear hook fit love technique ear hook super fall blue tooth discount couple time blue tooth receiver side move phone arm work amazon tooth garage speaker take kick mpow swift phone leave house connect price think deal use twice run, 0.9468, 5], [think true sound quality connectivitybut make angle extender go snap easilyi get use time pull bag use number piece snap drain, 0.6249, 5], [excellent sound performance look, 0.6249, 5], [review read review great product go record let everyone know headphone ear ear star rat sound qualityengineering price, 0.9169, 5], [product, 0.2732, 5], [buy take trip didnt cord headphone deal plane start use bike ride activity sound quality charge time excellent recharge time excellent issue run range bigger ear headphone drop player pas clothe excellent point, 0.0, 1], [headphone come follow instruction charge use bluetooth work awesome turn time charge give star review work mpow return sent pair poor review work change week use seventy eighty dollar head phone bit ebay sale price , 0.8098, 4], [sound quality ok pair order get audio fee, 0.4588, 4], [headphone dont seem stay ear ive try bud fall stay random stuff, 0.128, 3], [mine stop work week, 0.8979, 5], [perfect work, 0.9169, 5], [headphone doesnt fit ears price, 0.1367, 3], [pair get malfunction return receive pair company work stabilizer need keep headphone ear style use style work run bluetooth range better phone run pocket perfect overall bluetooth headphone set lightweight great sound quality, 0.9216, 4], [preface state samsung galaxy phone cant speak modelsbr br prosbr great sound bass quality decent job block noisebr runner use gym doesnt fall outbr doesnt module side model get way make sidebr connection distance expect foot set phone end room room door walk connection lossbr br consbr fit feel bud stick come piece attach help hold place ear come earbuds find say doesnt seem fall run nice compare model purchasedbr connecting earbuds lightweight control try make sit way neck tend tuck shirt front go gym, -0.8504, 1], [bang buck, 0.8934, 5], [fit connects phone sound price, 0.8928, 5], [product pair life hour thats considering wireless, 0.9201, 2], [awesome arrive charge time look term price quality, 0.6249, 5], [sounding ear bud lightweight lock ear buy, 0.2023, 4], [headphone great purchase ear headphone style lot accessory piece help get size stay matter activity level well range anticipate, 0.6249, 5], [product sound hear music way heard, 0.6249, 5], [work great give throw motion balance, 0.9714, 4], [sound quality great sound drop stutter ear piece take get use theyre bigger ear set function work gym circuit training treadmill ive come bit time wet sweat tell give twist minute speed walk outdoors issue, 0.0, 5], [product work advertise sound order excellent customer service seller, 0.9884, 4], [headphone use fit great use training run came home mow yard work hour go battery life ive purchase thing company customer service class kind problem make hassle, 0.6249, 5], [audio quality doesnt shake think battery life, 0.7778, 5], [boyfriend love price quality, 0.0, 3], [star customer service deal break earbud thing quietest earphone know man library condition listen podcasts volume turn way silent retreat ambient nose car, 0.8957, 4], [headphone great sound use enjoy, 0.09, 5], [awesome product, 0.5688, 4], [fit work great, 0.0516, 5], [product, 0.7375, 4], [dont fit ear, 0.5719, 5], [im glad purchase wireless headphone daughter purchase pair christmas stop work month well quality say sound quality, -0.9455, 4], [doesnt hold charge hour disappoint, 0.856, 4], [excellent product sound great bass definition hand ware run gym fit recommend, -0.6694, 4], [advertise, 0.6249, 5], [earphone work sound quality music great thats okay use listen podcasts gym week use eg keep battery charge link bluetooth, 0.9134, 4], [awesome ear plug, 0.3804, 4], [update review love comfort sound headphone find flaw cause damage use pair coat connect wire skin make wear head appropriate way wire stick neck pull wearing wire front rectify issue discomfort wire catch dumbells hand yank earbuds ear result hit floor come apart continue use result damage fair know solder appropriate tool neither tool skill company come alternative coating portion connect bridge doesnt stick neck review try number headset work gym environment sound dont want hear conversation weight bang noise headset price range issue arent sweat dont cancel noise purchase mpow headset purchase fail meet need amaze quality product comfort sound noise cancel durability sweat spot design work gym let forget price beat price product get take end product time downside find product rubber material use connect earpiece get annoy neck stick skin way found wear loop front avoid fix type nonadhering material center loop star product, 0.8555, 5], [price complain, 0.6249, 5], [awesome, -0.3773, 4], [lot stay ear run lift weight problem look mpow logo get eye pea stuck head know boom boom powbr love thing, 0.3384, 5], [headphone use run neck cord doesnt bother cant feel part pair iphone setup ear hook assortment find size stay ear problem headphone sound quality great im look headphone get run home stereo setup max volume perfect treadmill distance range advertise get foot start skip havent use microphone havent complaint person talking hear downside go tooth headset battery dy there nothing run gotten battery alert turn silence great buy recommend friend, 0.8268, 5], [far get door activity fit simple instruction, 0.7555, 4], [love headphone sounding earphone, 0.792, 4], [product sound battery life, 0.0, 5], [complaint product work, 0.6124, 5], [block outside noise turn fit charge doesnt take leave hour connect piece cake theyre awesome, 0.6249, 5], [order husband love, 0.6542, 1], [work advertise watch redial function press multifunction button twice call redial number call nice function dont forget turn headset put pocket way turn function, 0.7351, 5], [look, 0.5719, 5], [ok headphonesi go cordless im welder im period time weld hour get head phone seem jack connects phone im vacation cant say yet update return work, 0.7902, 5], [item fit comfy ear doesnt come run def recommend product, 0.3716, 4], [, 0.85, 5], [, 0.8555, 5]]"
B00WVWT98Y,[0.743],[5],"[[work, love, color]]","[[work love color, 0.743, 5]]"
B00WX95BY6,"[0.0, 0.9432]","[5, 5]","[[excellent, case, great, color, fit, nice, put, cell, phone, recommend], [come, week]]","[[excellent case great color fit nice put cell phone recommend, 0.0, 5], [come week, 0.9432, 5]]"
B00WXEVT5Q,[-0.5824],[1],"[[purchase, product, june, end, headset, crack, broke, put, head, sound, wasnt, wasnt, like, foldability, idea, cord, switch, side, wouldnt, purchase, expect, month, change]]","[[purchase product june end headset crack broke put head sound wasnt wasnt like foldability idea cord switch side wouldnt purchase expect month change, -0.5824, 1]]"
B00X8BHGGE,[-0.3612],[1],"[[price, proving, get, pay, work, product, kindle, work, tablet]]","[[price proving get pay work product kindle work tablet, -0.3612, 1]]"
B00X8LREE8,[0.8519],[5],"[[headphone, awesome, sound, quality]]","[[headphone awesome sound quality, 0.8519, 5]]"
B00X9LMB18,"[0.9824, 0.6115, 0.4927]","[5, 5, 4]","[[construction, make, fit, phone, build, kickstand, come, clipon, holder, attach, belt, purse, strap, clip, make, case, slide, belt, others, hadbr, case, combination, work, bargain, cheap, price, pay, purchase, case, brick, mortar, store, twice, price, case, good, otter, box, cost, costbr, try, cant, go, price], [happy], [please, purchase]]","[[construction make fit phone build kickstand come clipon holder attach belt purse strap clip make case slide belt others hadbr case combination work bargain cheap price pay purchase case brick mortar store twice price case good otter box cost costbr try cant go price, 0.9824, 5], [happy, 0.6115, 5], [please purchase, 0.4927, 4]]"
B00XAF0AIE,"[0.0, -0.6124, 0.0, 0.0, 0.6697, 0.8316, -0.17, 0.6249, 0.5413, 0.872, -0.6829, 0.0]","[5, 3, 5, 5, 5, 2, 3, 5, 1, 5, 3, 5]","[[start, listen, hear, music, time, music, sound, buggy, skip, return, waste, time, money], [commute, everyday, work, backbr, need, headphone, listen, tobr, musicthese, perfect, fit, billbr, love, sure, ill, wear, asbr, wellget, theme, try, ], [condition, expect], [love], [earpiece, stop, work, week, quality], [oem, ear, bud, wear, duplicate], [theyre, world, heard, well, price, sound, theyre, ok, isnt, bass, took, awhile, adjust], [quality, good, happy, work], [werent, manufacturer, quality, time, use, sound, ear, clog, sound, come, switch, one, come, phone, sound, clear, perfect, spend, extra, real, one], [expect], [expect, one, come, galaxy], [exelent, picture, description, show]]","[[start listen hear music time music sound buggy skip return waste time money, 0.0, 5], [commute everyday work backbr need headphone listen tobr musicthese perfect fit billbr love sure ill wear asbr wellget theme try , -0.6124, 3], [condition expect, 0.0, 5], [love, 0.0, 5], [earpiece stop work week quality, 0.6697, 5], [oem ear bud wear duplicate, 0.8316, 2], [theyre world heard well price sound theyre ok isnt bass took awhile adjust, -0.17, 3], [quality good happy work, 0.6249, 5], [werent manufacturer quality time use sound ear clog sound come switch one come phone sound clear perfect spend extra real one, 0.5413, 1], [expect, 0.872, 5], [expect one come galaxy, -0.6829, 3], [exelent picture description show, 0.0, 5]]"
B00XAMAZ96,[0.9963],[5],"[[clearfrosted, version, fosmon, case, terrific, gel, case, lumia, case, cost, triple, price, fosmon, become, clearfrost, version, clear, side, panel, let, color, phone, show, panel, coat, white, frost, provide, secure, grip, phone, allow, phone, color, show, clear, frost, version, look, perfect, phone, blue, black, lumiabr, br, case, provide, ledge, screen, protects, place, phone, face, lumia, phone, drop, wood, floor, zero, damage, luck, combine, gel, casebr, br, black, version, fosmon, case, transparent, look, okay, black, lumia, side, panel, shiny, glossy, black, finish, provide, secure, grip, phone, prefer, use, version, black, lumia, use, casebr, br, power, button, volume, button, cover, press, bit, port, size, standard, size, headphone, plug, charge, plugbr, br, want, nice, look, grippy, case, lumia, add, bulk, weight, fosmon, clear, version, dura, frost, great, choice]]","[[clearfrosted version fosmon case terrific gel case lumia case cost triple price fosmon become clearfrost version clear side panel let color phone show panel coat white frost provide secure grip phone allow phone color show clear frost version look perfect phone blue black lumiabr br case provide ledge screen protects place phone face lumia phone drop wood floor zero damage luck combine gel casebr br black version fosmon case transparent look okay black lumia side panel shiny glossy black finish provide secure grip phone prefer use version black lumia use casebr br power button volume button cover press bit port size standard size headphone plug charge plugbr br want nice look grippy case lumia add bulk weight fosmon clear version dura frost great choice, 0.9963, 5]]"
B00XBH99RY,[0.8442],[5],"[[color, make, phone, feel, larger]]","[[color make phone feel larger, 0.8442, 5]]"
B00XKNJ9VU,[0.6249],[5],"[[come, describe, arrive, look]]","[[come describe arrive look, 0.6249, 5]]"
B00XL4PEMG,[0.7251],[5],"[[bought, car, cord, use, house, car, price, quality, go, buy, travel]]","[[bought car cord use house car price quality go buy travel, 0.7251, 5]]"
B00XQFMKDQ,[0.4215],[5],"[[nice, unit, help, reduce, clutter, desk, centralize, device, charge, station]]","[[nice unit help reduce clutter desk centralize device charge station, 0.4215, 5]]"
B00XQTK8FE,[0.4019],[1],[[leather]],"[[leather, 0.4019, 1]]"
B00YAKH018,[0.4404],[4],"[[fix, good, iphone]]","[[fix good iphone, 0.4404, 4]]"
B00YD54ZWM,[0.0],[1],"[[refurb, refurbed, send, clock, doesnt, work, wont, hold, wifi, connectionsad]]","[[refurb refurbed send clock doesnt work wont hold wifi connectionsad, 0.0, 1]]"
B00YFRBXZK,[0.5719],[5],"[[perfect, size, lg, g, otter, box, come, stylist]]","[[perfect size lg g otter box come stylist, 0.5719, 5]]"
B00YU3CXE4,[0.9623],[5],"[[color, vibrant, phone, love, pick, help, get, case, lol]]","[[color vibrant phone love pick help get case lol, 0.9623, 5]]"
B00Z0PZJO2,[0.0516],[5],"[[phone, case, iphone, problem, plug, headphone, power, cord, cover]]","[[phone case iphone problem plug headphone power cord cover, 0.0516, 5]]"
B00Z35PRI2,"[0.5719, 0.9429]","[5, 4]","[[appreciate, temper, glass, screen, come, tin, keep, secure, travel, know, mail, carrier, time, purpose, open, tin, see, wrap, bit, foam, goody, instal, screen, word, advice, bathroom, shower, wait, sauna, use, guide, sticker, provide, put, screen, way, fool, align, iphone, reason, think, otterbox, commuter, cover, gap, didnt, remove, star, yes, want, front, cover, price, go, im, assume, glass, screen, go], [excellent]]","[[appreciate temper glass screen come tin keep secure travel know mail carrier time purpose open tin see wrap bit foam goody instal screen word advice bathroom shower wait sauna use guide sticker provide put screen way fool align iphone reason think otterbox commuter cover gap didnt remove star yes want front cover price go im assume glass screen go, 0.5719, 5], [excellent, 0.9429, 4]]"
B00Z9WM6W4,[-0.5719],[1],"[[hate, doesnt, work]]","[[hate doesnt work, -0.5719, 1]]"
B00ZB7M88Y,[0.8892],[5],"[[please, case, wish, way, protect, speaker, microphone, area, buy]]","[[please case wish way protect speaker microphone area buy, 0.8892, 5]]"
B00ZGPE7T4,[0.7841],[5],"[[ship, screen, appear, oem, come, instal, glass, make, installation, home, button, extension, make, pull, ribbon, mid, frame, easy, installation]]","[[ship screen appear oem come instal glass make installation home button extension make pull ribbon mid frame easy installation, 0.7841, 5]]"
B00ZHW0XT4,[0.0],[5],[[expect]],"[[expect, 0.0, 5]]"
B00ZPTE8VS,"[0.6369, 0.7003]","[5, 4]","[[nice, simple, cute, phonecase]]","[[nice simple cute phonecase, 0.6369, 5], [, 0.7003, 4]]"
B00ZR705KQ,"[0.7964, 0.9562, 0.9441]","[3, 5, 5]","[[band, well, thoughtbr, apple, sport, watch, space, gray, ideal, bandbr, br, prosbr, cheap, doesnt, feel, color, perfect, youre, star, watch, band, meet, youll, tellbr, clasp, wiggle, shake, lock, linksbr, come, adjustment, tool, glass, screen, cover, includedbr, remove, band, tool, includedbr, deliver, day, earlybr, br, consbr, remove, apple, band, hey, br, thats, itbr, br, band, worth, pennyill, attach, picture, see, color], [apple, watch, band, outstanding, look, apple, band, compare, le, link, band, ive, try, use, latch, bottom, product, name, couldnt, wait, get, rid, cheap, look, apple, sport, band, happy, purchase, fast, prime, delivery], [bracelet, compare, apple, charge, found, taper, watch, use, loop, connector, bracelet, come, retail, box, include, tool, diy, link, removal, tool, broke, use, thats, okay, tool, come, screen, protector, arrive, crack, poor, packaging, bracelet, good, quality, fit, sport, band, aware, bracelet, doesnt, match, color, sport, case, see, picture]]","[[band well thoughtbr apple sport watch space gray ideal bandbr br prosbr cheap doesnt feel color perfect youre star watch band meet youll tellbr clasp wiggle shake lock linksbr come adjustment tool glass screen cover includedbr remove band tool includedbr deliver day earlybr br consbr remove apple band hey br thats itbr br band worth pennyill attach picture see color, 0.7964, 3], [apple watch band outstanding look apple band compare le link band ive try use latch bottom product name couldnt wait get rid cheap look apple sport band happy purchase fast prime delivery, 0.9562, 5], [bracelet compare apple charge found taper watch use loop connector bracelet come retail box include tool diy link removal tool broke use thats okay tool come screen protector arrive crack poor packaging bracelet good quality fit sport band aware bracelet doesnt match color sport case see picture, 0.9441, 5]]"
B010NN44FU,"[0.6249, 0.0387]","[5, 3]","[[product, receive, time, come, everything, need, change, coverplate, spare, part], [end, use, samsung, replace, phone, issue, clip, phone, go, keep, use, look, fit, problem, package, everything, say]]","[[product receive time come everything need change coverplate spare part, 0.6249, 5], [end use samsung replace phone issue clip phone go keep use look fit problem package everything say, 0.0387, 3]]"
B010Q28KHQ,[-0.0909],[4],"[[im, addict, micheal, kor, saw, case, disappoint, thought, case, go, leather, wasnt, second, thing, think, mk, emblem, case, guess]]","[[im addict micheal kor saw case disappoint thought case go leather wasnt second thing think mk emblem case guess, -0.0909, 4]]"
B010TTN850,[0.2732],[1],"[[crack, fall, carpet, area, phone, screen, crack]]","[[crack fall carpet area phone screen crack, 0.2732, 1]]"
B010XDJZ4U,[0.0],[5],[[post]],"[[post, 0.0, 5]]"
B0113DMF6Y,[0.8856],[5],"[[keep, pone, slim, great, color, simple, feel, case, doesnt, feel, slippery, protects, side, button, expose, screen, issue, bad, get, screen, protector, packaging]]","[[keep pone slim great color simple feel case doesnt feel slippery protects side button expose screen issue bad get screen protector packaging, 0.8856, 5]]"
B011A8ZZWI,[0.0],[2],"[[decent, product, stay, curve, edge, case, buy, supcase, fullbody, rugged, holster, case, builtin, screen, protector, samsung, galaxy, edge, hold, edge, reason, find]]","[[decent product stay curve edge case buy supcase fullbody rugged holster case builtin screen protector samsung galaxy edge hold edge reason find, 0.0, 2]]"
B011GWZ8TS,[0.4404],[3],"[[th, cover, month, company, par, good, thing, r, cheap, buy]]","[[th cover month company par good thing r cheap buy, 0.4404, 3]]"
B011LJA1TS,"[0.9682, 0.0]","[5, 3]","[[think, temper, glass, go, thicker, order, replace, crack, protect, screen, thinner], [screen, protector, screen, silky, smooth, feel, install, clear, clarity, dont, notice, difference, screen, feel, look, samebr, apply, screen, clean, dust, debris, phone, use, alcohol, pad, dust, absorber, take, phone, bathroom, turn, shower, settle, dust, process, take, minute, completebr, br, good, investment, cell, phone, save, cost, repair, crack, scratch, screen, recieved, discount, honest, opinion]]","[[think temper glass go thicker order replace crack protect screen thinner, 0.9682, 5], [screen protector screen silky smooth feel install clear clarity dont notice difference screen feel look samebr apply screen clean dust debris phone use alcohol pad dust absorber take phone bathroom turn shower settle dust process take minute completebr br good investment cell phone save cost repair crack scratch screen recieved discount honest opinion, 0.0, 3]]"
B011QCWYW2,[0.0156],[3],"[[case, decent, nice, snug, fit, phone, kick, stand, phone, use]]","[[case decent nice snug fit phone kick stand phone use, 0.0156, 3]]"
B012ELUL06,[0.836],[5],"[[perfect, love]]","[[perfect love, 0.836, 5]]"
B012V0LWB2,[0.5574],[4],"[[armband, soft, worn, galaxy, note, fit, case, phone, screen, plastic, cover, recomend, use, holder, key, slip, slot, otherwise, key, fall, walk, run, open, bottom, phone, place, headphone, jack, cover, put, head, set, stretch, material, hole, use, bluetooth, headphone, issue, job, hold, samsung, galaxy, note, run]]","[[armband soft worn galaxy note fit case phone screen plastic cover recomend use holder key slip slot otherwise key fall walk run open bottom phone place headphone jack cover put head set stretch material hole use bluetooth headphone issue job hold samsung galaxy note run, 0.5574, 4]]"
